,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,lats,lngs,Category,Count,Rating
165,Clinton Hill,40.69322942,-73.96784306,433f2300f964a52050281fe3,Mike's Coffee Shop,40.68978512,-73.96538115,Diner,83,8.6
173,Downtown,40.69084402,-73.98346337,3fd66200f964a5207cf11ee3,Junior's Restaurant,40.69001145,-73.98173375,Diner,358,8.5
174,Downtown,40.69084402,-73.98346337,3fd66200f964a5207cf11ee3,Junior's Restaurant,40.69001145,-73.98173375,Diner,358,8.5
179,Downtown,40.69084402,-73.98346337,4b5cceabf964a520074529e3,New Apollo Diner,40.69050855,-73.98785797,Diner,41,7.3
122,Red Hook,40.67625323,-74.01275897,4a074634f964a5203b731fe3,Brooklyn Ice House,40.67907998,-74.01090321,Dive Bar,79,8.6
200,East Williamsburg,40.70849241,-73.93885815,4d673f06ae912d4396048f09,The Anchored Inn,40.70924279,-73.93718161,Dive Bar,70,8.6
101,Brooklyn Heights,40.69586372,-73.99378225,43655e80f964a52062291fe3,Teresa's Restaurant,40.69523888,-73.99605584,Eastern European Restaurant,49,6.6
18,Fordham,40.8609968,-73.89642656,4be332072fc7d13a2281083a,Burger King,40.86258428,-73.89618069,Fast Food Restaurant,4,5.8
20,Fordham,40.8609968,-73.89642656,4c0140ba94c1c9b667f8ba5f,McDonald's,40.861685,-73.892471,Fast Food Restaurant,6,5.7
32,Parkchester,40.83793782,-73.85600311,4cb8d3154352a1cd5a9988f5,Burger King,40.8375732,-73.8600513,Fast Food Restaurant,14,4.9
58,Greenpoint,40.73020098,-73.95424093,4a685faff964a52062ca1fe3,McDonald's,40.730389,-73.954109,Fast Food Restaurant,24,5.3
94,Brooklyn Heights,40.69586372,-73.99378225,5720f0d3498e1984b627e7d7,B.GOOD,40.6946967,-73.99380026,Fast Food Restaurant,17,7.5
154,Bath Beach,40.5995187,-73.99875221,4b102c53f964a520926a23e3,Burger King,40.60215725,-73.99456394,Fast Food Restaurant,5,6.5
187,Downtown,40.69084402,-73.98346337,4b9d7908f964a5200caf36e3,Burger King,40.6920532,-73.9883598,Fast Food Restaurant,21,4.7
128,Gowanus,40.67393114,-73.99444087,4c5dbf402815c928c8c3b567,Court Street Grocers,40.67628734,-73.998807,Food & Drink Shop,152,9.3
125,Gowanus,40.67393114,-73.99444087,53d2d280498eb383dd42ac1a,Hard Times Sundaes,40.67365534,-73.99936167,Food Truck,6,8.2
57,Greenpoint,40.73020098,-73.95424093,4bcf1883c564ef3ba33beff0,Le Gamin,40.7282801,-73.95733511,French Restaurant,72,8
132,Fort Greene,40.68852726,-73.97290574,5250553911d262bb0c732ee8,Cafe Paulette,40.68974308,-73.97579775,French Restaurant,50,8.3
135,Fort Greene,40.68852726,-73.97290574,422b9980f964a520d21f1fe3,Maison May,40.68946565,-73.96929148,French Restaurant,52,8.1
136,Fort Greene,40.68852726,-73.97290574,422b9980f964a520d21f1fe3,Maison May,40.68946565,-73.96929148,French Restaurant,52,8.1
191,Boerum Hill,40.68724138,-73.98357725,530931a5498e4079544a5f13,French Louie,40.68805616,-73.98815886,French Restaurant,112,9
208,North Side,40.71482291,-73.95880858,4554c3b0f964a520113d1fe3,Juliette,40.71690817,-73.95909652,French Restaurant,269,8.6
55,Greenpoint,40.73020098,-73.95424093,5ad7c4224febd54bc97c5c47,Pelicana Chicken,40.73145241,-73.95450967,Fried Chicken Joint,15,8.4
92,Bedford Stuyvesant,40.68723161,-73.94178489,4b9ec1b5f964a5205dff36e3,Peaches HotHouse,40.68333097,-73.94385322,Fried Chicken Joint,241,8.8
216,North Side,40.71482291,-73.95880858,448acb74f964a52048341fe3,Pies 'n' Thighs,40.71124791,-73.96144509,Fried Chicken Joint,554,8.9
50,Greenpoint,40.73020098,-73.95424093,5285412911d2a3e51484ff56,The Brew Inn,40.731031,-73.954191,Gastropub,26,8
104,Cobble Hill,40.68791972,-73.99856139,4ab6d694f964a520407920e3,Henry Public,40.69041286,-73.99641156,Gastropub,186,8.6
210,North Side,40.71482291,-73.95880858,3fd66200f964a52069eb1ee3,Sweetwater Restaurant,40.71836742,-73.95999991,Gastropub,124,8.7
19,Fordham,40.8609968,-73.89642656,4c8801830f3c236a2d4bef5c,Gyro King,40.8623237,-73.90042696,Greek Restaurant,13,6.1
87,Williamsburg,40.70714439,-73.95811529,4d33b71c2c76a1434f2f7ec7,Zamaan Hookah Bar and Lounge,40.70784742,-73.9558119,Hookah Bar,31,6.2
157,Dyker Heights,40.61921946,-74.01931376,4bafb531f964a5209f193ce3,Nathan's Famous,40.61849353,-74.02185465,Hot Dog Joint,13,7
217,North Side,40.71482291,-73.95880858,4d1829fae190721e1b3f2021,Crif Dogs,40.71699803,-73.95647564,Hot Dog Joint,211,8.5
