,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
106,Prospect Heights,40.676822262254774,-73.96485924262697,4bf721834a67c928eb2123cf,Branded Saloon,40.679394059795115,-73.96816545095966,Whisky Bar
107,Prospect Heights,40.676822262254774,-73.96485924262697,4075e780f964a52056f21ee3,Soda Bar,40.67831607945023,-73.96859389991734,Bar
108,Prospect Heights,40.676822262254774,-73.96485924262697,5a1cc6a0e179105d3a0670e0,MeMe’s Diner,40.67767949351533,-73.96374983057217,American Restaurant
109,Prospect Heights,40.676822262254774,-73.96485924262697,4adcc0a7f964a520702f21e3,The Vanderbilt,40.679517776613594,-73.96836850595237,American Restaurant
110,Prospect Heights,40.676822262254774,-73.96485924262697,5c43a4e8e17910002c355cbe,Stocked Burger,40.677219,-73.963579,Burger Joint
111,Prospect Heights,40.676822262254774,-73.96485924262697,4b93f1bdf964a520c25b34e3,Penny House Cafe,40.676109451782075,-73.96342291969121,Coffee Shop
112,Prospect Heights,40.676822262254774,-73.96485924262697,4a298f27f964a520a7951fe3,Cafe Shane on Washington,40.67416730721466,-73.96311113619906,Breakfast Spot
113,Prospect Heights,40.676822262254774,-73.96485924262697,4e738451ae6050af79ebf95b,Neptune Diner II,40.67657388375594,-73.95926265892562,Diner
114,Brownsville,40.663949943397576,-73.91023536176615,5902b03f8c812a4130407b8d,Checkers,40.663216311030425,-73.90933962198693,Burger Joint
115,Brownsville,40.663949943397576,-73.91023536176615,4ba90fd7f964a520fd073ae3,Crown Chicken,40.66507671181381,-73.91209136818333,Burger Joint
116,Williamsburg,40.70714439344255,-73.95811529220936,4ffe3889e4b01d5de4d4a81a,Blue Collar,40.71135771797886,-73.95771847756468,Burger Joint
117,Williamsburg,40.70714439344255,-73.95811529220936,48a1f340f964a5208e511fe3,Trophy Bar,40.70776758662049,-73.9557816400034,Bar
118,Williamsburg,40.70714439344255,-73.95811529220936,3fd66200f964a5209beb1ee3,Peter Luger Steak House,40.70995790682886,-73.96229110893742,Steakhouse
