,count,venue,venue category,venue lat,venue lon
297,31,Zamaan Hookah Bar and Lounge,Hookah Bar,40.707847422779714,-73.95581189700223
298,127,Knitting Factory,Rock Club,40.71421851534021,-73.95575557482657
299,7,Rip's Malt Shop,Burger Joint,40.697617,-73.971886
300,0,King Bites,Burger Joint,40.6153758854529,-73.9633310059177
301,33,The Wicked Monk,Bar,40.6171286019686,-74.03384858127117
302,17,Hunter's Steak & Ale House,Steakhouse,40.61660563943881,-74.03098585281313
303,23,UNO Pizzeria & Grill,American Restaurant,40.61806515759511,-74.03002782198651
304,43,The Lockyard,Beer Garden,40.61736777473677,-74.02964943412427
305,85,Breakroom,Burger Joint,40.716656,-73.99972199999999
306,23,The Flower Shop,American Restaurant,40.71805698854421,-73.9920596318328
307,166,Dudley's,Australian Restaurant,40.718053000000005,-73.990353
308,12,The Commissary,American Restaurant,40.71500419213064,-73.99100963130398
309,110,Randolph Beer NOLITA,Beer Garden,40.719719081695864,-73.99481665865126
310,62,Grey Lady,Seafood Restaurant,40.71895714410247,-73.9903795981843
311,26,CC's Cafe 2,Café,40.71157580344289,-73.99458413743072
312,96,Forgtmenot,New American Restaurant,40.7144587613216,-73.9915463794752
313,20,Farmhouse Restaurant,American Restaurant,40.718027903443996,-73.9895256547027
314,319,Two Hands,Café,40.719729,-73.99609699999999
315,26,Mama Eatery,Café,40.71496436184324,-73.99995314739066
316,24,Burger Heights,Burger Joint,40.85026807331502,-73.93461812752481
317,91,Le Chéile,Café,40.851459036018426,-73.93998920917511
318,38,Pick and Eat,Café,40.84755809230442,-73.93821158547597
319,15,McDonald's,Fast Food Restaurant,40.850094,-73.936035
320,0,The Smash Burger,Burger Joint,40.85183983167664,-73.93185174855124
321,5,Scoop Cafe,Café,40.849988223249156,-73.93539645226812
322,1,Bistro 209,American Restaurant,40.855171,-73.93780600000001
323,15,Burger King,Fast Food Restaurant,40.84908254582167,-73.93425665459574
324,3,Broadway Pizza & Coffee Shop,Pizza Place,40.852371698687065,-73.9348623057271
325,5,The Tubby Hook,American Restaurant,40.86781567865924,-73.92073897853041
326,7,Cafe De Broadway,Café,40.868299986514465,-73.9189277969204
327,10,Jimbo's,Burger Joint,40.864432382908255,-73.91885747678715
328,30,G's Coffee Shop,Diner,40.868417923956464,-73.92174351734803
329,43,Garden Cafe,Café,40.868050488858266,-73.92047699521964
330,11,Inwood Bar and Grill,Restaurant,40.86704379362675,-73.92257045428569
331,0,Stop 809,Burger Joint,40.865589,-73.919799
332,46,Trufa,Mediterranean Restaurant,40.82308361212953,-73.95295214762749
333,7,Jimbo's Hamburger Palace,Burger Joint,40.82595392371681,-73.94926043908728
334,67,Cafe One,Café,40.82213853417716,-73.94985305610274
335,18,Nadal 2 Deli,Burger Joint,40.82762619927646,-73.94940770484605
336,8,Checkers,Burger Joint,40.82399309120629,-73.94505017947267
337,0,2Buns Burgers,Burger Joint,40.821685149431794,-73.95287990570068
338,12,Grill On The Hill,Bar,40.82217710484206,-73.9499439013087
339,2,Jimbos145,Breakfast Spot,40.82594828298323,-73.94854488859387
340,55,Toast 125,Burger Joint,40.814859999999996,-73.9594
341,496,Dinosaur Bar-B-Que,BBQ Joint,40.81814687379685,-73.9606735523417
