,Venue,Venue Category,Venue ID,Venue Latitude,Venue Longitude,gender,id
676,G's Coffee Shop,40.86841792395647,4be88652947820a1e802b5db,-73.92174351734803,Diner,male,17381183
677,G's Coffee Shop,40.86841792395647,4be88652947820a1e802b5db,-73.92174351734803,Diner,female,66672
678,Garden Cafe,40.868050488858266,4c33cd1d16adc928e942c49c,-73.92047699521964,Café,male,14766783
679,Garden Cafe,40.868050488858266,4c33cd1d16adc928e942c49c,-73.92047699521964,Café,female,1897639
680,Garden Cafe,40.868050488858266,4c33cd1d16adc928e942c49c,-73.92047699521964,Café,female,2591180
681,Inwood Bar and Grill,40.86704379362675,56218101498e22966bef8816,-73.92257045428569,Restaurant,male,57717990
682,Trufa,40.82308361212953,4da8ee246e81162ae7b15710,-73.95295214762749,Mediterranean Restaurant,none,540243405
683,Trufa,40.82308361212953,4da8ee246e81162ae7b15710,-73.95295214762749,Mediterranean Restaurant,none,540243405
684,Trufa,40.82308361212953,4da8ee246e81162ae7b15710,-73.95295214762749,Mediterranean Restaurant,none,532810537
685,Jimbo's Hamburger Palace,40.82595392371681,4e4cd4e7bd413c4cc66c843d,-73.94926043908728,Burger Joint,none,522910824
686,Jimbo's Hamburger Palace,40.82595392371681,4e4cd4e7bd413c4cc66c843d,-73.94926043908728,Burger Joint,male,12076715
687,Jimbo's Hamburger Palace,40.82595392371681,4e4cd4e7bd413c4cc66c843d,-73.94926043908728,Burger Joint,female,41116311
688,Cafe One,40.82213853417716,46e26948f964a520a24a1fe3,-73.94985305610274,Café,female,3650812
689,Cafe One,40.82213853417716,46e26948f964a520a24a1fe3,-73.94985305610274,Café,male,157170236
690,Nadal 2 Deli,40.82762619927646,4b26afdaf964a520847f24e3,-73.94940770484605,Burger Joint,male,3508119
691,Nadal 2 Deli,40.82762619927646,4b26afdaf964a520847f24e3,-73.94940770484605,Burger Joint,male,148152518
692,Nadal 2 Deli,40.82762619927646,4b26afdaf964a520847f24e3,-73.94940770484605,Burger Joint,male,179978360
693,Checkers,40.82399309120629,52463a94498eeb73e959e43b,-73.94505017947267,Burger Joint,female,508432909
694,Checkers,40.82399309120629,52463a94498eeb73e959e43b,-73.94505017947267,Burger Joint,male,3508119
695,Checkers,40.82399309120629,52463a94498eeb73e959e43b,-73.94505017947267,Burger Joint,male,37750643
696,Grill On The Hill,40.82217710484206,540a5685498e696147312201,-73.9499439013087,Bar,female,3781095
697,Grill On The Hill,40.82217710484206,540a5685498e696147312201,-73.9499439013087,Bar,male,19833260
